date,num_search,stock_price
2021-03-21,38,"932,000"
2021-03-28,39,"834,000"
2021-04-04,36,"885,000"
2021-04-11,31,"906,000"
2021-04-18,32,"894,000"
2021-04-25,27,"861,000"
2021-05-02,27,"820,000"
2021-05-09,26,"850,000"
2021-05-16,29,"823,000"
2021-05-23,26,"856,000"
2021-05-30,29,"854,000"
2021-06-06,30,"858,000"
2021-06-13,31,"848,000"
2021-06-20,37,"825,000"
2021-06-27,34,"820,000"
2021-07-04,40,"834,000"
2021-07-11,29,"778,000"
2021-07-18,27,"809,000"
2021-07-25,25,"809,000"
2021-08-01,24,"812,000"
2021-08-08,31,"790,000"
2021-08-15,35,"853,000"
2021-08-22,38,"709,000"
2021-08-29,34,"633,000"
2021-09-05,30,"611,000"
2021-09-12,31,"589,000"
2021-09-19,31,"571,000"
2021-09-26,33,"571,000"
2021-10-03,33,"560,000"
2021-10-10,30,"582,000"
2021-10-17,30,"619,000"
2021-10-24,33,"621,000"
2021-10-31,100,"595,000"
2021-11-07,79,"786,000"
2021-11-14,70,"760,000"
2021-11-21,61,"700,000"
2021-11-28,50,"690,000"
2021-12-05,47,"737,000"
2021-12-12,38,"680,000"
2021-12-19,48,"656,000"
2021-12-26,44,"643,000"
2022-01-02,39,"606,000"
2022-01-09,39,"583,000"
2022-01-16,32,"565,000"
2022-01-23,35,"567,000"
2022-01-30,33,"536,000"
2022-02-06,33,"540,000"
2022-02-13,35,"510,000"
2022-02-20,33,"492,500"
2022-02-27,31,"463,500"
2022-03-06,34,"459,500"
2022-03-13,26,"452,000"
