date,bs2
2021-03-21,2
2021-03-28,2
2021-04-04,3
2021-04-11,4
2021-04-18,19
2021-04-25,13
2021-05-02,14
2021-05-09,6
2021-05-16,4
2021-05-23,6
2021-05-30,7
2021-06-06,3
2021-06-13,3
2021-06-20,3
2021-06-27,6
2021-07-04,6
2021-07-11,3
2021-07-18,11
2021-07-25,6
2021-08-01,3
2021-08-08,8
2021-08-15,7
2021-08-22,100
2021-08-29,37
2021-09-05,21
2021-09-12,16
2021-09-19,11
2021-09-26,8
2021-10-03,6
2021-10-10,10
2021-10-17,8
2021-10-24,5
2021-10-31,6
2021-11-07,6
2021-11-14,4
2021-11-21,6
2021-11-28,7
2021-12-05,4
2021-12-12,1
2021-12-19,2
2021-12-26,3
2022-01-02,3
2022-01-09,4
2022-01-16,2
2022-01-23,2
2022-01-30,1
2022-02-06,2
2022-02-13,3
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,4
