date,lineageW
2021-03-21,0
2021-03-28,<1
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,<1
2021-05-23,0
2021-05-30,0
2021-06-06,<1
2021-06-13,0
2021-06-20,0
2021-06-27,<1
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,<1
2021-08-08,7
2021-08-15,13
2021-08-22,8
2021-08-29,5
2021-09-05,3
2021-09-12,3
2021-09-19,3
2021-09-26,13
2021-10-03,10
2021-10-10,6
2021-10-17,8
2021-10-24,9
2021-10-31,100
2021-11-07,66
2021-11-14,54
2021-11-21,46
2021-11-28,36
2021-12-05,30
2021-12-12,25
2021-12-19,28
2021-12-26,26
2022-01-02,23
2022-01-09,24
2022-01-16,20
2022-01-23,18
2022-01-30,16
2022-02-06,15
2022-02-13,16
2022-02-20,17
2022-02-27,14
2022-03-06,13
2022-03-13,9
